CASO,R,G,B,CLASE
862,184,196,210,1
863,184,196,210,1
864,184,196,210,1
865,186,198,212,1
866,189,201,215,1
867,190,202,216,1
868,192,204,218,1
869,193,205,219,1
870,195,207,221,1
871,195,207,221,1
872,195,207,221,1
873,195,207,221,1
874,197,209,223,1
875,197,211,224,1
876,193,209,222,1
877,193,209,222,1
878,192,208,221,1
879,192,208,221,1
880,191,207,220,1
881,190,206,219,1
882,190,206,219,1
883,189,205,218,1
884,189,205,218,1
885,189,205,218,1
886,189,205,218,1
887,189,205,218,1
888,189,205,218,1
889,189,205,218,1
890,189,205,218,1
891,189,205,218,1
892,194,208,221,1
893,194,206,220,1
894,194,206,220,1
895,194,206,220,1
896,193,205,219,1
897,192,204,218,1
898,191,205,218,1
899,191,205,218,1
900,190,204,217,1
901,189,203,216,1
902,186,202,215,1
903,184,200,213,1
904,183,199,212,1
905,181,197,210,1
906,180,196,209,1
907,179,195,208,1
908,177,195,207,1
909,175,193,205,1
910,173,190,206,1
911,170,189,204,1
912,169,188,205,1
913,169,188,205,1
914,170,188,210,1
915,171,189,211,1
916,171,189,211,1
917,169,190,211,1
918,168,189,210,1
919,167,188,209,1
920,165,186,205,1
921,162,185,203,1
922,160,183,199,1
923,159,182,198,1
924,159,180,199,1
925,159,180,199,1
926,159,180,199,1
927,159,180,199,1
928,159,180,199,1
929,159,180,199,1
930,159,180,201,1
931,159,180,201,1
932,157,178,199,1
933,157,178,199,1
934,156,176,200,1
935,156,176,200,1
936,155,175,199,1
937,155,175,199,1
938,154,174,198,1
939,153,175,198,1
940,150,174,198,1
941,149,175,198,1
942,150,176,199,1
943,151,177,200,1
944,152,178,201,1
945,153,179,202,1
946,155,179,203,1
947,156,180,204,1
948,159,181,205,1
949,159,181,205,1
950,158,180,204,1
951,157,179,203,1
952,19,19,19,1
953,1,1,1,1
954,11,11,11,1
955,14,16,5,1
956,215,216,208,1
957,206,207,199,1
958,214,215,207,1
959,14,15,9,1
960,8,9,3,1
961,8,9,4,1
962,12,13,8,1
963,13,13,13,1
964,7,7,7,1
965,11,11,9,1
966,243,243,241,1
967,5,5,5,1
968,8,8,8,1
969,7,7,7,1
